,P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category,lat,lon
0,C-BAG-27-031,KathmanduN.P.,Kathmandu,Central,2.17,10.0,8.86,1.82,5.34,4.88,10.0,Highest,27.69411375,85.28831834642071
1,C-BAG-25-027,LalitpurN.P.,Lalitpur,Central,1.72,2.26,8.4,0.82,4.61,2.62,5.3707,Highest,27.5482923,85.32293844156553
2,C-NAR-35-005,BharatpurN. P.,Chitawan,Central,2.21,1.47,5.38,2.53,3.96,2.34,4.8083,Highest,27.7503287,85.3328491
3,C-BAG-26-012,MadhyapurThimiN.P.,Bhaktapur,Central,2.45,0.85,8.23,0.89,4.56,2.12,4.3447,Highest,27.704332,85.452118
4,C-BAG-27-028,Jorpati,Kathmandu,Central,1.91,0.87,8.86,1.82,5.34,2.07,4.2407,Highest,27.69411375,85.28831834642071
5,C-BAG-26-003,BhaktapurN.P.,Bhaktapur,Central,1.82,0.84,8.23,0.89,4.56,1.91,3.9135,Highest,27.704332,85.452118
6,W-GAN-36-050,PrithbinarayanN.P.,Gorkha,Western,3.48,0.33,6.44,5.21,5.83,1.89,3.8764,Highest,27.97746715,84.60481872992312
7,C-JAN-20-025,KamalamiN.P.,Sindhuli,Central,2.54,0.4,5.19,6.55,5.87,1.82,3.7307,Highest,27.25,86.0
8,C-JAN-20-026,Kapilakot,Sindhuli,Central,8.02,0.12,5.19,6.55,5.87,1.77,3.6294,Highest,27.25,86.0
9,C-BAG-27-033,KirtipurN.P.,Kathmandu,Central,1.35,0.67,8.86,1.82,5.34,1.69,3.4689,Highest,27.69411375,85.28831834642071
10,C-BAG-27-022,Gonggabu,Kathmandu,Central,1.62,0.56,8.86,1.82,5.34,1.69,3.464,Highest,27.69411375,85.28831834642071
11,C-BAG-27-030,Kapan,Kathmandu,Central,1.71,0.5,8.86,1.82,5.34,1.66,3.3955,Highest,27.69411375,85.28831834642071
12,C-BAG-24-065,PanautiN. P.,Kavrepalanchok,Central,3.3,0.28,6.46,3.31,4.88,1.65,3.3898,Highest,27.58333,85.66667
13,C-JAN-20-034,Mahadevsthan,Sindhuli,Central,10.0,0.07,5.19,6.55,5.87,1.61,3.307,Highest,27.25,86.0
14,C-JAN-20-024,Kalpabrishykha,Sindhuli,Central,7.1,0.1,5.19,6.55,5.87,1.59,3.2566,Highest,27.25,86.0
15,C-NAR-31-020,HetaudaN.P.,Makwanpur,Central,1.04,0.87,4.99,3.64,4.32,1.57,3.2258,Highest,27.41667,85.25
16,C-BAG-28-008,BidurN.P.,Nuwakot,Central,2.26,0.27,5.91,5.85,5.88,1.54,3.1583,Highest,27.91447,85.16478
17,W-GAN-38-001,Aabukhaireni,Tanahu,Western,4.08,0.17,6.43,4.04,5.24,1.53,3.1405,Highest,27.97364295,84.2695509
18,C-NAR-35-033,RatnanagarN.P.,Chitawan,Central,1.73,0.48,5.38,2.53,3.96,1.48,3.0392,Highest,27.7503287,85.3328491
19,C-BAG-27-016,Dhapasi,Kathmandu,Central,1.74,0.32,8.86,1.82,5.34,1.44,2.9542,High,27.69411375,85.28831834642071
20,C-BAG-27-023,Gothatar,Kathmandu,Central,2.0,0.27,8.86,1.82,5.34,1.42,2.9142,High,27.69411375,85.28831834642071
21,W-LUM-48-021,Gaidakot,Nawalparasi,Western,1.82,0.34,5.61,3.51,4.56,1.42,2.9061,High,27.65376405,84.03113665485648
22,C-BAG-24-006,BanepaN. P.,Kavrepalanchok,Central,2.28,0.25,6.46,3.31,4.88,1.41,2.898,High,27.58333,85.66667
23,C-JAN-20-013,Dadiguranshe,Sindhuli,Central,9.3,0.05,5.19,6.55,5.87,1.39,2.8516,High,27.25,86.0
24,C-BAG-27-038,Manmaiju,Kathmandu,Central,1.2,0.41,8.86,1.82,5.34,1.39,2.8434,High,27.69411375,85.28831834642071
25,C-BAG-30-035,Nilkantha,Dhading,Central,2.01,0.21,6.82,5.15,5.99,1.35,2.7773,High,28.0,84.91667
26,C-BAG-30-002,Baireni,Dhading,Central,2.97,0.14,6.82,5.15,5.99,1.35,2.7602,High,28.0,84.91667
27,C-BAG-25-023,Imadol,Lalitpur,Central,1.87,0.28,8.4,0.82,4.61,1.34,2.7515,High,27.5482923,85.32293844156553
28,C-BAG-30-013,Gajuri,Dhading,Central,3.5,0.1,6.82,5.15,5.99,1.29,2.6491,High,28.0,84.91667
29,C-BAG-30-034,Naubise,Dhading,Central,2.34,0.15,6.82,5.15,5.99,1.28,2.6219,High,28.0,84.91667
30,C-NAR-31-016,Faparbari,Makwanpur,Central,2.76,0.17,4.99,3.64,4.32,1.27,2.6037,High,27.41667,85.25
31,C-BAG-30-037,Pida,Dhading,Central,2.98,0.11,6.82,5.15,5.99,1.26,2.5936,High,28.0,84.91667
32,C-BAG-25-009,Chapagaun,Lalitpur,Central,2.58,0.17,8.4,0.82,4.61,1.26,2.584,High,27.5482923,85.32293844156553
33,C-BAG-30-018,Jogimara,Dhading,Central,4.18,0.08,6.82,5.15,5.99,1.26,2.577,High,28.0,84.91667
34,C-BAG-24-023,DhulikhelN. P.,Kavrepalanchok,Central,2.64,0.15,6.46,3.31,4.88,1.24,2.536,High,27.58333,85.66667
35,C-BAG-30-004,Benighat,Dhading,Central,3.12,0.1,6.82,5.15,5.99,1.23,2.5214,High,28.0,84.91667
36,C-NAR-35-017,Jutpani,Chitawan,Central,3.19,0.15,5.38,2.53,3.96,1.23,2.52,High,27.7503287,85.3328491
37,C-JAN-20-030,Kyaneshwor,Sindhuli,Central,3.27,0.1,5.19,6.55,5.87,1.23,2.5155,High,27.25,86.0
38,C-BAG-27-037,Mahankal,Kathmandu,Central,1.84,0.18,8.86,1.82,5.34,1.22,2.5004,High,27.69411375,85.28831834642071
39,C-BAG-26-002,Balkot,Bhaktapur,Central,2.36,0.16,8.23,0.89,4.56,1.21,2.4733,High,27.704332,85.452118
40,C-BAG-30-005,Bhumesthan,Dhading,Central,2.61,0.11,6.82,5.15,5.99,1.2,2.4597,High,28.0,84.91667
41,C-BAG-30-048,Thakre,Dhading,Central,2.85,0.1,6.82,5.15,5.99,1.2,2.4583,High,28.0,84.91667
42,C-BAG-30-016,Jeewanpur,Dhading,Central,3.07,0.09,6.82,5.15,5.99,1.18,2.4271,High,28.0,84.91667
43,C-BAG-30-026,Kumpur,Dhading,Central,2.65,0.1,6.82,5.15,5.99,1.18,2.412,High,28.0,84.91667
44,W-GAN-38-017,Devghat,Tanahu,Western,3.84,0.08,6.43,4.04,5.24,1.17,2.3917,High,27.97364295,84.2695509
45,C-NAR-35-021,Khairahani,Chitawan,Central,1.81,0.22,5.38,2.53,3.96,1.16,2.388,High,27.7503287,85.3328491
46,C-BAG-26-011,Kautunje,Bhaktapur,Central,1.71,0.2,8.23,0.89,4.56,1.16,2.3762,High,27.704332,85.452118
47,C-BAG-30-011,Dhussa,Dhading,Central,3.49,0.07,6.82,5.15,5.99,1.15,2.3684,High,28.0,84.91667
48,C-BAG-24-032,Gokule,Kavrepalanchok,Central,6.13,0.05,6.46,3.31,4.88,1.14,2.3398,High,27.58333,85.66667
49,C-BAG-30-028,Mahadevsthan,Dhading,Central,3.44,0.07,6.82,5.15,5.99,1.13,2.3151,High,28.0,84.91667
50,C-BAG-30-029,Maidi,Dhading,Central,2.51,0.09,6.82,5.15,5.99,1.12,2.3042,High,28.0,84.91667
51,C-BAG-27-024,IchangNarayan,Kathmandu,Central,1.04,0.25,8.86,1.82,5.34,1.11,2.2866,High,27.69411375,85.28831834642071
52,C-BAG-30-020,Kalleri,Dhading,Central,2.49,0.09,6.82,5.15,5.99,1.11,2.2689,High,28.0,84.91667
53,C-JAN-22-004,BhimesworN.P.,Dolakha,Central,0.86,0.23,7.53,5.86,6.7,1.1,2.26,High,27.83333,86.25
54,C-BAG-24-066,Panchkhal,Kavrepalanchok,Central,2.16,0.13,6.46,3.31,4.88,1.1,2.2573,High,27.58333,85.66667
55,C-NAR-31-032,Namtar,Makwanpur,Central,3.3,0.09,4.99,3.64,4.32,1.09,2.232,High,27.41667,85.25
56,C-NAR-31-003,Bajrabarahi,Makwanpur,Central,3.77,0.08,4.99,3.64,4.32,1.09,2.2263,High,27.41667,85.25
57,C-BAG-28-035,Kumari,Nuwakot,Central,2.44,0.09,5.91,5.85,5.88,1.08,2.2245,High,27.91447,85.16478
58,C-NAR-35-035,Shaktikhor,Chitawan,Central,3.32,0.1,5.38,2.53,3.96,1.08,2.2205,High,27.7503287,85.3328491
59,C-BAG-27-036,Mahadevathan,Kathmandu,Central,1.49,0.16,8.86,1.82,5.34,1.08,2.2185,High,27.69411375,85.28831834642071
60,C-BAG-25-029,Lele,Lalitpur,Central,3.18,0.09,8.4,0.82,4.61,1.08,2.2179,High,27.5482923,85.32293844156553
61,C-NAR-35-010,Darechok,Chitawan,Central,3.21,0.1,5.38,2.53,3.96,1.08,2.2104,High,27.7503287,85.3328491
62,C-NAR-35-007,Chainpur,Chitawan,Central,1.81,0.17,5.38,2.53,3.96,1.07,2.2006,High,27.7503287,85.3328491
63,W-GAN-36-041,Manakamana,Gorkha,Western,3.32,0.06,6.44,5.21,5.83,1.07,2.1987,High,27.97746715,84.60481872992312
64,C-NAR-31-012,Daman,Makwanpur,Central,3.29,0.09,4.99,3.64,4.32,1.07,2.1971,High,27.41667,85.25
